Refcode,largest_cavity_diameter,pore_limiting_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
HUPCAW,2.1955,1.18298,2.18405,1740.18,1.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQUQOD,1.59193,0.68505,1.59193,336.569,4.08185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFACOH,1.86231,1.03619,1.80258,841.204,2.26261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEBLAC,1.73533,1.00801,1.73238,695.309,2.33087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWOGIM,2.63939,1.94819,2.60668,1396.97,2.42472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVATIJ,2.19926,1.18255,2.19418,2238.26,2.60505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVATEF,2.20879,1.49499,2.12514,1442.62,2.29287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFACIB,1.75424,0.98271,1.75186,1371.71,2.57632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXIROY,1.75924,0.94798,1.54649,295.438,2.56281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORHAX02,2.10681,1.19501,2.07871,757.389,2.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOYZIG,3.06396,1.07501,3.04641,986.561,2.11441,0.0,0.0,47.1503,22.2996,0.0,0.0,0.0,36.779,0.03728,0.0176314
HOFRIG,4.99388,1.84894,4.98639,3896.01,3.16602,0.0,0.0,399.358,126.139,0.0,0.0,0.0,413.055,0.10602,0.0334868
IGUSUA,1.54773,0.83008,1.54773,918.381,3.78028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPWUV,2.01365,1.38608,2.00188,1276.06,1.71128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
